Country,AssetClass,Sector,Industry,Name,Symbol,Exchange,Priority,Watchlist,Portfolio,Active,Tags,Notes
India,Equity,Healthcare,Hospitals,Max Healthcare,MAXHEALTH.NS,NSE,5,TRUE,FALSE,TRUE,hospital;healthcare,
India,Equity,Healthcare,Hospitals,Apollo Hospitals,APOLLOHOSP.NS,NSE,5,TRUE,FALSE,TRUE,hospital,
India,Equity,Healthcare,Hospitals,Narayana Hrudayalaya,NH.NS,NSE,5,TRUE,FALSE,TRUE,hospital,
India,Equity,Healthcare,Hospitals,Rainbow Children's Medicare,RAINBOW.NS,NSE,4,TRUE,FALSE,TRUE,hospital;paediatric,
India,Equity,Healthcare,Diagnostics,Dr Lal PathLabs,LALPATHLAB.NS,NSE,4,TRUE,FALSE,TRUE,diagnostics,
India,Equity,Healthcare,Diagnostics,Vijaya Diagnostic,VIJAYA.NS,NSE,4,TRUE,FALSE,TRUE,diagnostics,
India,Equity,Healthcare,Pharma,Sun Pharmaceutical,SUNPHARMA.NS,NSE,5,TRUE,FALSE,TRUE,pharma,
India,Equity,Healthcare,Pharma,Divi's Laboratories,DIVISLAB.NS,NSE,5,TRUE,FALSE,TRUE,cdmo;pharma,
India,Equity,Healthcare,Pharma,Torrent Pharmaceuticals,TORNTPHARM.NS,NSE,4,TRUE,FALSE,TRUE,pharma,
India,Equity,Healthcare,Pharma,Cipla,CIPLA.NS,NSE,4,TRUE,FALSE,TRUE,pharma,

India,Equity,Financials,Bank,HDFC Bank,HDFCBANK.NS,NSE,5,TRUE,FALSE,TRUE,bank,
India,Equity,Financials,Bank,ICICI Bank,ICICIBANK.NS,NSE,5,TRUE,FALSE,TRUE,bank,
India,Equity,Financials,Bank,State Bank of India,SBIN.NS,NSE,5,TRUE,FALSE,TRUE,bank,
India,Equity,Financials,Insurance,HDFC Life,HDFCLIFE.NS,NSE,4,TRUE,FALSE,TRUE,insurance,
India,Equity,Financials,Insurance,SBI Life,SBILIFE.NS,NSE,4,TRUE,FALSE,TRUE,insurance,
India,Equity,Financials,Insurance,ICICI Prudential Life,ICICIPRULI.NS,NSE,4,TRUE,FALSE,TRUE,insurance,
India,Equity,Financials,Exchange,BSE,BSE.NS,NSE,5,TRUE,FALSE,TRUE,exchange,
India,Equity,Financials,Exchange,MCX,MCX.NS,NSE,5,TRUE,FALSE,TRUE,exchange,
India,Equity,Financials,Depository,CDSL,CDSL.NS,NSE,5,TRUE,FALSE,TRUE,depository,
India,Equity,Financials,Registrar,CAMS,CAMS.NS,NSE,5,TRUE,FALSE,TRUE,market-infra,

India,Equity,Capital Goods,Electrical Equipment,ABB India,ABB.NS,NSE,5,TRUE,FALSE,TRUE,capex;manufacturing,
India,Equity,Capital Goods,Electrical Equipment,Siemens India,SIEMENS.NS,NSE,5,TRUE,FALSE,TRUE,capex;manufacturing,
India,Equity,Capital Goods,Industrial,Cummins India,CUMMINSIND.NS,NSE,5,TRUE,FALSE,TRUE,industrial,
