Country,AssetClass,Sector,Industry,Name,Symbol,Exchange,Priority,Watchlist,Portfolio,Active,Tags,Notes
Crypto,Crypto,Layer 1,Store of Value,Bitcoin,BTC-USD,CRYPTO,5,TRUE,FALSE,TRUE,btc;store-of-value,
Crypto,Crypto,Layer 1,Smart Contracts,Ethereum,ETH-USD,CRYPTO,5,TRUE,FALSE,TRUE,eth;smart-contract,
Crypto,Crypto,Layer 1,High Performance,Solana,SOL-USD,CRYPTO,5,TRUE,FALSE,TRUE,solana;defi,
Crypto,Crypto,Exchange,Exchange Token,BNB,BNB-USD,CRYPTO,5,TRUE,FALSE,TRUE,binance,
Crypto,Crypto,Payments,Payments,XRP,XRP-USD,CRYPTO,4,TRUE,FALSE,TRUE,ripple,
Crypto,Crypto,Smart Contracts,Layer 1,Cardano,ADA-USD,CRYPTO,4,TRUE,FALSE,TRUE,layer1,
Crypto,Crypto,Layer 1,Avalanche,Avalanche,AVAX-USD,CRYPTO,4,TRUE,FALSE,TRUE,avalanche,
Crypto,Crypto,Oracle,Oracle,Chainlink,LINK-USD,CRYPTO,5,TRUE,FALSE,TRUE,oracle,
Crypto,Crypto,Meme,Meme Coin,Dogecoin,DOGE-USD,CRYPTO,3,TRUE,FALSE,TRUE,meme,
Crypto,Crypto,Layer 1,TRON,TRON,TRX-USD,CRYPTO,3,TRUE,FALSE,TRUE,payments,
Crypto,Crypto,Stablecoin,USD Stablecoin,Tether,USDT-USD,CRYPTO,2,FALSE,FALSE,TRUE,stablecoin,
Crypto,Crypto,Stablecoin,USD Stablecoin,USDC,USDC-USD,CRYPTO,2,FALSE,FALSE,TRUE,stablecoin,
Crypto,Crypto,Layer 1,NEAR Protocol,NEAR Protocol,NEAR-USD,CRYPTO,4,TRUE,FALSE,TRUE,ai,
Crypto,Crypto,AI,Artificial Intelligence,Render,RENDER-USD,CRYPTO,5,TRUE,FALSE,TRUE,gpu;ai,
Crypto,Crypto,DePIN,Storage,Filecoin,FIL-USD,CRYPTO,3,TRUE,FALSE,TRUE,storage,
Crypto,Crypto,AI,AI Infrastructure,Artificial Superintelligence Alliance,FET-USD,CRYPTO,4,TRUE,FALSE,TRUE,ai,
Crypto,Crypto,Interoperability,Cross Chain,Cosmos,ATOM-USD,CRYPTO,3,TRUE,FALSE,TRUE,cross-chain,
Crypto,Crypto,Interoperability,Interoperability,Polkadot,DOT-USD,CRYPTO,3,TRUE,FALSE,TRUE,interop,
Crypto,Crypto,Payments,Payments,Stellar,XLM-USD,CRYPTO,3,TRUE,FALSE,TRUE,payments,
