Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
MAXHEALTH.NS,Max Healthcare,India,76,14.333001000000001,12.2,7.3999999999999995,17.226,32.367,72.12593,43.955727,14.77,24.23575,2,up,flat,flat,flat,flat,up,False,3422200000.0,21428900000.0,3.5,3.09
APOLLOHOSP.NS,Apollo Hospitals,India,80,21.503,18.099999999999998,35.6,7.696,85.146,65.88435,41.520424,135.07,214.32825,4,up,up,up,flat,up,up,False,5293000000.0,66055000000.0,36.76,34.94
NH.NS,Narayana Hrudayalaya,India,70,,80.4,5.4,8.984,129.033,46.299038,26.997034,40.53,69.50764,1,up,flat,flat,flat,flat,flat,False,2071780000.0,26836340000.0,10.2,11.02
RAINBOW.NS,Rainbow Children's Medicare,India,85,,33.2,13.3,15.68,53.558,54.58126,38.88215,28.18,39.558,1,up,flat,flat,flat,flat,flat,False,605720000.0,4699850000.0,5.97,7.59
LALPATHLAB.NS,Dr Lal PathLabs,India,90,,19.1,27.800000000000004,18.745,7.83,60.41294,45.17667,32.45,43.39408,2,up,up,up,flat,up,down,False,1695000000.0,7977000000.0,10.13,7.85
VIJAYA.NS,Vijaya Diagnostic,India,90,19.698,26.6,38.0,21.245001,44.15,83.247765,52.068707,16.75,26.78,4,up,up,up,flat,up,up,False,479293000.0,2193767000.0,4.65,4.19
SUNPHARMA.NS,Sun Pharmaceutical,India,86,,10.5,27.400000000000002,20.188999,5.517,38.71576,30.076809,50.38,64.85063,1,up,up,flat,flat,up,down,False,28947900000.0,151835500000.0,12.1,11.3
DIVISLAB.NS,Divi's Laboratories,India,98,,27.800000000000004,65.7,26.046000000000003,0.042,85.953316,55.357796,96.82,150.33113,1,up,up,flat,flat,up,down,False,7510000000.0,28310000000.0,28.31,21.98
TORNTPHARM.NS,Torrent Pharmaceuticals,India,70,,54.800000000000004,-8.200000000000001,13.874,85.446,79.07404,52.77186,62.53,93.69577,4,up,up,up,flat,up,up,False,5660000000.0,48350000000.0,14.87,11.51
CIPLA.NS,Cipla,India,58,,3.5000000000000004,-39.2,12.009,1.778,35.342762,23.230682,41.72,63.47209,2,up,flat,flat,flat,flat,up,False,7890500000.0,70770200000.0,9.76,6.86
HDFCBANK.NS,HDFC Bank,India,81,13.838000000000001,16.6,18.099999999999998,26.787,,15.973558,11.676518,45.76,62.6,0,flat,flat,flat,flat,flat,flat,False,162579100000.0,853464600000.0,10.56,
ICICIBANK.NS,ICICI Bank,India,78,16.073999,11.4,13.8,27.531,,18.426908,15.153192,77.3,94.0,1,up,flat,flat,down,up,up,False,154400600000.0,383657400000.0,21.29,20.36
