Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
MAXHEALTH.NS,Max Healthcare,India,79,,16.7,4.8,16.723,32.367,67.588745,42.985516,14.93,23.47535,2,up,flat,flat,flat,flat,up,False,3422200000.0,21428900000.0,3.5,3.09
APOLLOHOSP.NS,Apollo Hospitals,India,80,,20.599999999999998,34.1,7.906000000000001,85.146,61.330814,41.011757,145.4,217.43765,4,up,up,up,flat,up,up,False,5293000000.0,66055000000.0,36.76,34.94
NH.NS,Narayana Hrudayalaya,India,70,,80.4,5.4,8.984,129.033,45.45679,26.486298,40.5,69.50764,1,up,flat,flat,flat,flat,flat,False,2071780000.0,26836340000.0,10.2,11.02
RAINBOW.NS,Rainbow Children's Medicare,India,85,,33.2,13.3,15.68,53.558,50.723194,35.99272,28.07,39.558,1,up,flat,flat,flat,flat,flat,False,605720000.0,4699850000.0,5.97,7.59
LALPATHLAB.NS,Dr Lal PathLabs,India,90,,19.1,27.800000000000004,18.745,7.83,59.61717,44.499157,32.39,43.39408,2,up,up,up,flat,up,down,False,1695000000.0,7977000000.0,10.13,7.85
VIJAYA.NS,Vijaya Diagnostic,India,91,,22.8,37.3,21.874,44.15,81.07557,53.52877,18.13,27.46,4,up,up,up,flat,up,up,False,531011000.0,2309819000.0,5.15,4.65
SUNPHARMA.NS,Sun Pharmaceutical,India,86,,10.5,27.400000000000002,20.188999,5.517,38.614254,30.13968,50.37,64.53287,1,up,up,flat,flat,up,down,False,28947900000.0,151835500000.0,12.1,11.3
DIVISLAB.NS,Divi's Laboratories,India,98,,27.800000000000004,65.7,26.046000000000003,0.042,88.28642,56.75471,96.64,150.33113,1,up,up,flat,flat,up,down,False,7510000000.0,28310000000.0,28.31,21.98
TORNTPHARM.NS,Torrent Pharmaceuticals,India,70,,54.800000000000004,-8.200000000000001,13.874,85.446,76.84227,51.82983,62.83,93.15099,4,up,up,up,flat,up,up,False,5660000000.0,48350000000.0,14.87,11.51
CIPLA.NS,Cipla,India,58,,3.5000000000000004,-39.2,12.009,1.778,34.612072,22.772213,41.76,63.47209,2,up,flat,flat,flat,flat,up,False,7890500000.0,70770200000.0,9.76,6.86
HDFCBANK.NS,HDFC Bank,India,81,13.838000000000001,16.6,18.099999999999998,26.787,,15.898753,11.614218,45.73,62.6,0,flat,flat,flat,flat,flat,flat,False,162579100000.0,853464600000.0,10.56,
ICICIBANK.NS,ICICI Bank,India,78,16.073999,11.4,13.8,27.531,,18.327517,15.085107,77.37,94.0,1,up,flat,flat,down,up,up,False,154400600000.0,383657400000.0,21.29,20.36
SBIN.NS,State Bank of India,India,74,15.177,10.299999999999999,9.9,22.375999999999998,,11.378167,10.16437,93.53,104.69906,2,down,up,up,flat,up,up,False,241130000000.0,978142900000.0,26.11,21.28
HDFCLIFE.NS,HDFC Life,India,69,10.8009994,15.2,11.899999999999999,1.8950000000000002,15.842,58.542576,44.778175,9.16,11.9757,0,flat,up,down,flat,up,flat,False,6111900000.0,337267900000.0,2.83,2.3
SBILIFE.NS,SBI Life,India,70,13.703000000000001,18.8,21.8,2.1389998,,69.067696,51.097244,25.85,34.94122,-2,up,down,down,flat,down,down,False,7249300000.0,463503300000.0,7.22,8.02
ICICIPRULI.NS,ICICI Prudential Life,India,63,12.579,-83.1,61.4,2.5510002,19.037,43.854435,35.866947,11.61,14.19552,0,flat,flat,flat,flat,flat,flat,False,3861800000.0,285127100000.0,2.66,4.30497
BSE.NS,BSE,India,100,,64.0,62.1,48.918,0.0,49.416912,36.505413,68.6,92.86294,2,up,up,flat,flat,up,flat,False,8740200000.0,15660200000.0,21.22,19.35
MCX.NS,MCX,India,100,,85.3,103.4,55.559999999999995,0.113,48.102707,36.597168,60.56,79.59906,2,up,up,down,flat,down,up,False,4134400000.0,7020000000.0,16.21,20.78
CDSL.NS,CDSL,India,70,23.913,4.2,-19.900000000000002,36.923,0.11,59.49535,45.185978,22.59,29.74374,1,up,up,flat,flat,up,down,False,1175100000.0,2927600000.0,5.62,3.84
CAMS.NS,CAMS,India,87,,11.5,17.0,31.785000000000004,4.863,38.320766,29.171412,19.89,26.12832,0,down,up,down,flat,up,up,False,1280159000.0,3950295000.0,5.14,5.08
ABB.NS,ABB India,India,78,19.131,12.1,3.0,21.349001,1.547,102.08778,72.96395,74.96,104.88056,1,flat,flat,flat,flat,flat,up,False,3623000000.0,35210300000.0,17.09,84.18
SIEMENS.NS,Siemens India,India,92,,14.799999999999999,406.1,19.017,2.213,83.333336,58.153156,47.28,67.75213,1,up,flat,down,flat,down,up,False,3701000000.0,46175000000.0,10.4,7.8
